				Execution times (in seconds) for file eng_hamlet.txt

  Colums    Rows       md5    sha256     sha1    blake2s    dsaEncryption
--------  ------  --------  --------  -------  ---------  ---------------
      50       5  0.48748   1.69137   3.1743     5.40002          8.25428
      50       4  0.45859   1.60235   2.87941    4.5213           6.89282
      50       3  0.375817  1.23737   2.34303    3.87037          5.70934
      50       2  0.301362  0.98832   1.91538    3.30297          4.47889
      50       1  0.228386  0.690008  1.3444     2.12488          3.13502
      40       5  0.525882  1.88441   3.33783    6.20914          8.58142
      40       4  0.438782  1.58099   2.86319    4.58391          6.9335
      40       3  0.387147  1.28887   2.282      3.77085          5.74487
      40       2  0.352235  1.11289   2.01075    2.99097          4.35179
      40       1  0.206876  0.689096  1.35398    2.07258          3.11804
      20       5  0.54568   1.90029   3.44396    5.34642          8.17718
      20       4  0.493318  1.62829   2.87177    4.61782          6.8457
      20       3  0.388126  1.26797   2.34036    3.72799          5.97637
      20       2  0.389436  1.0315    1.91355    3.0092           4.44653
      20       1  0.208683  0.715666  1.34493    2.13362          3.19135
      30       5  0.575268  1.88225   3.39755    5.26865          8.13839
      30       4  0.484633  1.59988   2.97468    4.57985          6.96938
      30       3  0.369428  1.30438   2.36338    3.82426          5.9976
      30       2  0.298807  0.943642  1.83592    2.9811           4.39432
      30       1  0.201676  0.69573   1.35458    2.1684           3.12369
      10       5  0.547206  1.80193   3.25326    5.17994          7.73544
      10       4  0.445877  1.50835   2.83893    4.42465          6.58967
      10       3  0.381161  1.26497   2.31745    3.50476          5.76564
      10       2  0.277632  0.980824  1.77149    2.84229          4.29082
      10       1  0.231057  0.702269  1.27706    2.00037          3.01542
