				Counting for file eng_hamlet.txt

				Exact counting: 62201

  Colums    Rows     md5    sha256     sha1    blake2s    dsaEncryption
--------  ------  ------  --------  -------  ---------  ---------------
      50       5   65826     69567    85377     132237           136632
      50       4   65826     81315    98127     165894           170664
      50       3   65826     93876   124239     243803           263434
      50       2   65826    117661   176655     436395           554497
      50       1  105492    256536   486864     828464          1340864
      40       5   63355     74001    98133     168511           190705
      40       4   63446     77298   110978     213380           235574
      40       3   65984     87420   136287     287997           366036
      40       2   72376    104495   211934     444108           605137
      40       1   88193    228920   411572     772202          1313147
      20       5   66061    110581   328063     740790          1010647
      20       4   73214    119945   382822     874629          1163704
      20       3   81732    159072   443303    1056312          1505470
      20       2   87861    173886   549716    1196602          2001574
      20       1  130373    383870   813182    1766612          3196757
      30       5   63244     79949   135503     252561           345781
      30       4   64688     94846   140645     297822           427134
      30       3   70145    106374   202414     510022           725923
      30       2   83552    131749   298240     706151          1093521
      30       1  124430    255680   526916     993916          1694416
      10       5   97022    290841   863547    2026705          3172908
      10       4  104235    325328   988883    2196575          3562580
      10       3  122629    402550  1101612    2487887          4099918
      10       2  140203    466334  1216522    2660041          4412006
      10       1  225394    722761  1604275    3309065          5866250
